time,seconds_elapsed,z,y,x
1712257406280780300,0.0437802734375,0,0,0
1712257406290780400,0.053780517578125,-0.0864858627319336,-0.028101444244384766,0.07642346620559692
1712257406300781000,0.063781005859375,-0.15703964233398438,-0.06570172309875488,0.10477644205093384
1712257406310782500,0.073782470703125,-0.11791515350341797,-0.0739293098449707,-0.012638211250305176
1712257406320784400,0.083784423828125,0.009754180908203125,-0.07504105567932129,-0.27387556433677673
1712257406330787300,0.093787353515625,0.26935863494873047,-0.0879971981048584,-0.5158213376998901
1712257406340791300,0.103791259765625,0.5503387451171875,-0.09050250053405762,-0.7276380062103271
1712257406350796500,0.113796630859375,0.7672996520996094,0.004119873046875,-0.8037455081939697
1712257406360802600,0.123802490234375,0.9567327499389648,0.07673525810241699,-0.728576123714447
1712257406370809600,0.1338095703125,1.01177978515625,0.06821703910827637,-0.6454015374183655
1712257406380817700,0.143817626953125,0.8396949768066406,0.05598330497741699,-0.5235269665718079
1712257406390826500,0.153826416015625,0.46369075775146484,0.016919851303100586,-0.3000093698501587
1712257406400836000,0.163836181640625,0.11348533630371094,-0.09401750564575195,-0.011943846940994263
1712257406410846200,0.17384619140625,-0.049025535583496094,-0.2396247386932373,0.19648399949073792
1712257406420856600,0.183856689453125,-0.007298469543457031,-0.3368649482727051,0.25330302119255066
1712257406430867000,0.193866943359375,-0.03915214538574219,-0.3513929843902588,0.04036663472652435
1712257406440876800,0.203876708984375,-0.00151824951171875,-0.17730236053466797,-0.2407202124595642
1712257406450882800,0.2138828125,0.09323406219482422,0.07125639915466309,-0.42503708600997925
1712257406460888800,0.223888916015625,0.05187797546386719,0.17973113059997559,-0.49996715784072876
1712257406470894600,0.23389453125,-0.09592628479003906,0.10892701148986816,-0.5662696957588196
1712257406480900600,0.243900634765625,-0.39167022705078125,-0.02302241325378418,-0.5502550005912781
1712257406490906600,0.25390673828125,-0.5970926284790039,-0.14476442337036133,-0.26586252450942993
1712257406500912600,0.26391259765625,-0.8041696548461914,-0.2153463363647461,0.07268571853637695
1712257406510918700,0.273918701171875,-1.0830583572387695,-0.22568035125732422,0.28577083349227905
1712257406520924700,0.283924560546875,-1.3452520370483398,-0.2305593490600586,0.31342071294784546
1712257406530930700,0.2939306640625,-1.5283145904541016,-0.20029735565185547,0.22488969564437866
1712257406540936700,0.303936767578125,-1.626821517944336,-0.12535905838012695,0.22155526280403137
1712257406550942700,0.313942626953125,-1.5194997787475586,-0.07562136650085449,0.20320388674736023
1712257406560948500,0.323948486328125,-1.1664676666259766,-0.018616676330566406,-0.04820914566516876
1712257406570954500,0.33395458984375,-0.7640953063964844,0.05314517021179199,-0.2915803790092468
1712257406580960500,0.34396044921875,-0.38617515563964844,0.13674426078796387,-0.34558969736099243
1712257406590966500,0.353966552734375,-0.10880851745605469,0.15898394584655762,-0.21912282705307007
1712257406600972500,0.36397265625,0.02126598358154297,0.10073614120483398,-0.046405792236328125
1712257406610978600,0.373978515625,0.1438617706298828,0.018242359161376953,0.17047861218452454
1712257406620984600,0.383984619140625,0.2690706253051758,-0.05691361427307129,0.39696797728538513
1712257406630990600,0.393990478515625,0.27163219451904297,-0.07964181900024414,0.4750533998012543
1712257406640996600,0.40399658203125,0.1455059051513672,-0.009479761123657227,0.3436841666698456
1712257406651002600,0.414002685546875,-0.05987548828125,0.09648990631103516,0.15262934565544128
1712257406661008400,0.42400830078125,-0.21729183197021484,0.12247920036315918,0.019857734441757202
1712257406671014400,0.434014404296875,-0.3006467819213867,0.08620429039001465,-0.0324120819568634
1712257406681020400,0.4440205078125,-0.2418651580810547,0.06893587112426758,-0.12332219630479813
1712257406691026400,0.4540263671875,-0.13751697540283203,0.04644155502319336,-0.20940975844860077
1712257406701032400,0.464032470703125,-0.1333026885986328,0.04641008377075195,-0.24784424901008606
1712257406711038500,0.47403857421875,-0.1943807601928711,0.031507253646850586,-0.18342918157577515
1712257406721044500,0.48404443359375,-0.2683372497558594,-0.010604619979858398,-0.006555795669555664
1712257406731050500,0.494050537109375,-0.2754850387573242,-0.018198728561401367,0.1431063413619995
1712257406741056500,0.504056396484375,-0.26888465881347656,0.012845516204833984,0.24433879554271698
1712257406751062500,0.5140625,-0.2017383575439453,0.015600442886352539,0.20781540870666504
1712257406761068300,0.524068359375,-0.18314743041992188,0.08476996421813965,0.1561015546321869
1712257406771074300,0.53407421875,-0.13692569732666016,0.12484049797058105,0.05231982469558716
1712257406781080300,0.544080322265625,-0.06801986694335938,0.1497058868408203,-0.051084354519844055
1712257406791086300,0.55408642578125,0.014232635498046875,0.14886713027954102,-0.008636802434921265
1712257406801092400,0.56409228515625,0.05822467803955078,0.08440065383911133,-0.029695242643356323
1712257406811098400,0.574098388671875,0.03175830841064453,0.03766512870788574,-0.2510470449924469
1712257406821104400,0.5841044921875,0.07268047332763672,0.04529619216918945,-0.3648150861263275
1712257406831110400,0.5941103515625,0.10949993133544922,0.02542400360107422,-0.2620275914669037
1712257406841116400,0.604116455078125,0.10930538177490234,0.0019435882568359375,-0.130830779671669
1712257406851122200,0.6141220703125,-0.01724529266357422,-0.018892526626586914,-0.05814415216445923
1712257406861128400,0.62412841796875,-0.14188671112060547,-0.07233524322509766,0.08694928884506226
1712257406871134500,0.634134521484375,-0.2749519348144531,-0.1036684513092041,0.2756287157535553
1712257406881140500,0.644140380859375,-0.4215726852416992,-0.12074947357177734,0.31804144382476807
1712257406891146500,0.654146484375,-0.45488452911376953,-0.07518720626831055,0.23037591576576233
1712257406901152500,0.664152587890625,-0.27770137786865234,-0.024846553802490234,0.12098428606987
